Date,Product,Customer,Region,Quantity,Revenue
05-01-2025,Decorative Diyas,C101,Ahmedabad,15,4500
10-01-2025,Festive LED Lights,C102,Surat,25,18750
15-01-2025,Festival Gift Boxes,C103,Vadodara,10,12000
20-01-2025,Corporate Hampers,C104,Mumbai,5,25000
25-01-2025,Floral Torans,C105,Rajkot,20,8000
02-02-2025,Festive LED Lights,C106,Ahmedabad,30,22500
08-02-2025,Wedding Decor Sets,C107,Surat,4,48000
14-02-2025,Festival Gift Boxes,C108,Vadodara,18,21600
22-02-2025,Party Props,C109,Mumbai,40,16000
28-02-2025,Decorative Diyas,C110,Rajkot,25,7500
05-03-2025,Floral Torans,C101,Ahmedabad,35,14000
12-03-2025,Festive LED Lights,C102,Surat,40,30000
18-03-2025,Corporate Hampers,C103,Mumbai,8,40000
25-03-2025,Festival Gift Boxes,C104,Vadodara,22,26400
02-04-2025,Wedding Decor Sets,C105,Ahmedabad,5,60000
10-04-2025,Decorative Diyas,C106,Rajkot,30,9000
18-04-2025,Party Props,C107,Surat,50,20000
25-04-2025,Festive LED Lights,C108,Mumbai,20,15000
05-05-2025,Floral Torans,C109,Vadodara,28,11200
12-05-2025,Corporate Hampers,C110,Ahmedabad,12,60000
20-05-2025,Festival Gift Boxes,C101,Surat,30,36000
28-05-2025,Wedding Decor Sets,C102,Mumbai,6,72000
04-06-2025,Festive LED Lights,C103,Ahmedabad,18,13500
11-06-2025,Decorative Diyas,C104,Rajkot,20,6000
18-06-2025,Party Props,C105,Surat,35,14000
25-06-2025,Floral Torans,C106,Vadodara,22,8800
02-07-2025,Festival Gift Boxes,C107,Mumbai,25,30000
10-07-2025,Corporate Hampers,C108,Ahmedabad,15,75000
18-07-2025,Festive LED Lights,C109,Surat,35,26250
25-07-2025,Wedding Decor Sets,C110,Rajkot,4,48000
02-08-2025,Decorative Diyas,C101,Ahmedabad,12,3600
08-08-2025,Floral Torans,C102,Vadodara,15,6000
15-08-2025,Festive LED Lights,C103,Surat,20,15000
22-08-2025,Party Props,C104,Mumbai,25,10000
29-08-2025,Festival Gift Boxes,C105,Ahmedabad,14,16800
05-09-2025,Festive LED Lights,C106,Ahmedabad,60,45000
12-09-2025,Floral Torans,C107,Surat,50,20000
18-09-2025,Decorative Diyas,C108,Vadodara,80,24000
24-09-2025,Corporate Hampers,C109,Mumbai,20,100000
30-09-2025,Wedding Decor Sets,C110,Rajkot,8,96000
05-10-2025,Festive LED Lights,C101,Ahmedabad,120,90000
10-10-2025,Decorative Diyas,C102,Surat,200,60000
15-10-2025,Festival Gift Boxes,C103,Mumbai,80,96000
20-10-2025,Corporate Hampers,C104,Ahmedabad,35,175000
25-10-2025,Wedding Decor Sets,C105,Surat,12,144000
28-10-2025,Floral Torans,C106,Vadodara,90,36000
02-11-2025,Festive LED Lights,C107,Ahmedabad,150,112500
08-11-2025,Decorative Diyas,C108,Mumbai,180,54000
14-11-2025,Corporate Hampers,C109,Surat,40,200000
20-11-2025,Wedding Decor Sets,C110,Ahmedabad,15,180000
26-11-2025,Festival Gift Boxes,C101,Rajkot,65,78000
02-12-2025,Festive LED Lights,C102,Mumbai,90,67500
08-12-2025,Party Props,C103,Ahmedabad,100,40000
15-12-2025,Corporate Hampers,C104,Surat,30,150000
22-12-2025,Festival Gift Boxes,C105,Vadodara,70,84000
28-12-2025,Wedding Decor Sets,C106,Mumbai,10,120000
05-01-2026,Festive LED Lights,C107,Ahmedabad,45,33750
12-01-2026,Floral Torans,C108,Surat,30,12000
18-01-2026,Corporate Hampers,C109,Mumbai,18,90000
25-01-2026,Festival Gift Boxes,C110,Vadodara,32,38400
02-02-2026,Decorative Diyas,C101,Rajkot,25,7500
10-02-2026,Wedding Decor Sets,C102,Ahmedabad,6,72000
18-02-2026,Festive LED Lights,C103,Surat,35,26250
25-02-2026,Party Props,C104,Mumbai,40,16000
