Date,Product,Customer,Region,Quantity,Revenue
01-01-2025,Laptop,C001,Ahmedabad,2,120000
02-01-2025,Mouse,C002,Surat,10,15000
03-01-2025,Keyboard,C003,Vadodara,5,25000
05-01-2025,Monitor,C004,Mumbai,3,45000
07-01-2025,Headset,C005,Ahmedabad,8,32000
10-01-2025,Laptop,C006,Surat,1,60000
12-01-2025,Mouse,C001,Ahmedabad,15,22500
15-01-2025,Monitor,C007,Vadodara,4,60000
18-01-2025,Laptop,C008,Mumbai,3,180000
20-01-2025,Keyboard,C002,Surat,6,30000
25-01-2025,Headset,C009,Ahmedabad,4,16000
28-01-2025,Laptop,C010,Mumbai,2,120000
01-02-2025,Laptop,C001,Ahmedabad,3,180000
03-02-2025,Mouse,C003,Surat,12,18000
05-02-2025,Keyboard,C004,Vadodara,8,40000
08-02-2025,Monitor,C005,Mumbai,5,75000
11-02-2025,Headset,C006,Ahmedabad,10,40000
14-02-2025,Laptop,C007,Surat,2,120000
18-02-2025,Mouse,C008,Vadodara,20,30000
22-02-2025,Monitor,C009,Mumbai,2,30000
25-02-2025,Keyboard,C010,Ahmedabad,4,20000
01-03-2025,Laptop,C001,Ahmedabad,4,240000
04-03-2025,Mouse,C002,Surat,8,12000
07-03-2025,Keyboard,C003,Vadodara,10,50000
10-03-2025,Monitor,C004,Mumbai,6,90000
15-03-2025,Headset,C005,Ahmedabad,12,48000
20-03-2025,Laptop,C006,Mumbai,3,180000
25-03-2025,Mouse,C007,Surat,15,22500
01-04-2025,Laptop,C008,Ahmedabad,2,120000
05-04-2025,Keyboard,C009,Vadodara,7,35000
10-04-2025,Monitor,C010,Mumbai,4,60000
15-04-2025,Headset,C001,Ahmedabad,6,24000
20-04-2025,Mouse,C002,Surat,25,37500
01-05-2025,Laptop,C003,Mumbai,5,300000
06-05-2025,Keyboard,C004,Ahmedabad,12,60000
12-05-2025,Monitor,C005,Surat,5,75000
18-05-2025,Headset,C006,Vadodara,15,60000
25-05-2025,Mouse,C007,Mumbai,30,45000
01-06-2025,Laptop,C001,Ahmedabad,3,180000
07-06-2025,Keyboard,C008,Surat,9,45000
14-06-2025,Monitor,C009,Vadodara,4,60000
21-06-2025,Headset,C010,Mumbai,8,32000
28-06-2025,Mouse,C002,Ahmedabad,18,27000
01-07-2025,Laptop,C001,Ahmedabad,5,300000
05-07-2025,Mouse,C003,Surat,20,30000
10-07-2025,Keyboard,C004,Vadodara,10,50000
15-07-2025,Monitor,C005,Mumbai,8,120000
20-07-2025,Headset,C006,Ahmedabad,15,60000
25-07-2025,Laptop,C007,Mumbai,4,240000
01-08-2025,Laptop,C001,Ahmedabad,1,60000
05-08-2025,Mouse,C002,Surat,10,15000
10-08-2025,Keyboard,C003,Vadodara,5,25000
15-08-2025,Monitor,C004,Mumbai,3,45000
20-08-2025,Headset,C005,Ahmedabad,5,20000
25-08-2025,Laptop,C006,Surat,2,120000
01-09-2025,Laptop,C001,Ahmedabad,4,240000
06-09-2025,Mouse,C007,Surat,16,24000
12-09-2025,Keyboard,C008,Vadodara,8,40000
18-09-2025,Monitor,C009,Mumbai,6,90000
24-09-2025,Headset,C010,Ahmedabad,10,40000
01-10-2025,Laptop,C001,Ahmedabad,5,300000
08-10-2025,Keyboard,C002,Surat,14,70000
15-10-2025,Monitor,C003,Vadodara,7,105000
22-10-2025,Headset,C004,Mumbai,12,48000
29-10-2025,Mouse,C005,Ahmedabad,22,33000
01-11-2025,Laptop,C006,Mumbai,4,240000
07-11-2025,Keyboard,C007,Ahmedabad,10,50000
14-11-2025,Monitor,C008,Surat,5,75000
21-11-2025,Headset,C009,Vadodara,14,56000
28-11-2025,Mouse,C010,Mumbai,25,37500
01-12-2025,Laptop,C001,Ahmedabad,6,360000
06-12-2025,Mouse,C002,Surat,30,45000
12-12-2025,Keyboard,C003,Vadodara,16,80000
18-12-2025,Monitor,C004,Mumbai,10,150000
24-12-2025,Headset,C005,Ahmedabad,20,80000
01-01-2026,Laptop,C001,Ahmedabad,5,300000
06-01-2026,Mouse,C002,Surat,20,30000
12-01-2026,Keyboard,C003,Vadodara,12,60000
18-01-2026,Monitor,C004,Mumbai,8,120000
24-01-2026,Headset,C005,Ahmedabad,15,60000
01-02-2026,Laptop,C006,Surat,4,240000
06-02-2026,Mouse,C007,Vadodara,18,27000
12-02-2026,Keyboard,C008,Mumbai,10,50000
18-02-2026,Monitor,C009,Ahmedabad,6,90000
24-02-2026,Headset,C010,Surat,12,48000
