Date,Category,Description,Amount
05-01-2025,Marketing,New Year Festive Ads,18000
10-01-2025,Salaries,Employee Payroll Jan,140000
15-01-2025,Rent,Showroom & Warehouse Rent,45000
20-01-2025,Operations,Packaging & Shipping,12000
25-01-2025,Inventory,Decor Stock Batch,65000
05-02-2025,Marketing,Wedding Season Ads,22000
10-02-2025,Salaries,Employee Payroll Feb,140000
15-02-2025,Rent,Showroom & Warehouse Rent,45000
20-02-2025,Operations,Store Utilities & Freight,11000
25-02-2025,Inventory,LED Lights Import Batch,70000
05-03-2025,Marketing,Holi & Spring Promotion,20000
10-03-2025,Salaries,Employee Payroll Mar,145000
15-03-2025,Rent,Showroom & Warehouse Rent,45000
20-03-2025,Operations,Software & Billing AMC,8000
25-03-2025,Inventory,Corporate Gift Stock,85000
05-04-2025,Marketing,Local Store Pamphlets,12000
10-04-2025,Salaries,Employee Payroll Apr,145000
15-04-2025,Rent,Showroom & Warehouse Rent,45000
20-04-2025,Operations,Logistics & Couriers,10000
25-04-2025,Inventory,Floral & Toran Materials,55000
05-05-2025,Marketing,Digital Ad Campaigns,25000
10-05-2025,Salaries,Employee Payroll May,150000
15-05-2025,Rent,Showroom & Warehouse Rent,45000
20-05-2025,Operations,Electricity & ACAMC,14000
25-05-2025,Inventory,Lighting Supplies,90000
05-06-2025,Marketing,Social Media Branding,15000
10-06-2025,Salaries,Employee Payroll Jun,150000
15-06-2025,Rent,Showroom & Warehouse Rent,45000
20-06-2025,Operations,Store Maintenance,9000
25-06-2025,Inventory,Party Props Batch,45000
05-07-2025,Marketing,Mid-Year Gift Offer,22000
10-07-2025,Salaries,Employee Payroll Jul,155000
15-07-2025,Rent,Showroom & Warehouse Rent,45000
20-07-2025,Operations,Warehouse Logistics,16000
25-07-2025,Inventory,Festive Sample Stock,95000
05-08-2025,Marketing,Rakhi Campaign Ads,28000
10-08-2025,Salaries,Employee Payroll Aug,155000
15-08-2025,Rent,Showroom & Warehouse Rent,45000
20-08-2025,Operations,Courier & Packing,12000
25-08-2025,Inventory,Gifting Replenishment,60000
05-09-2025,Marketing,Navratri & Pre-Diwali Ads,45000
10-09-2025,Salaries,Employee Payroll Sep + Temp Staff,180000
15-09-2025,Rent,Showroom & Warehouse Rent,45000
20-09-2025,Operations,Freight & Transport,25000
25-09-2025,Inventory,Bulk Festive LED Order,160000
05-10-2025,Marketing,Diwali Mega Ad Campaign,85000
10-10-2025,Salaries,Employee Payroll Oct + Festival Staff,220000
15-10-2025,Rent,Showroom & Warehouse Rent,45000
20-10-2025,Operations,Express Delivery & Logistics,38000
25-10-2025,Inventory,Diya & Hampers Main Stock,220000
05-11-2025,Marketing,Post-Diwali & Wedding Ads,50000
10-11-2025,Salaries,Employee Payroll Nov + Festival Bonus,250000
15-11-2025,Rent,Showroom & Warehouse Rent,45000
20-11-2025,Operations,Packaging Materials,22000
25-11-2025,Inventory,Wedding Props & Lighting,140000
05-12-2025,Marketing,Christmas & New Year Ads,40000
10-12-2025,Salaries,Employee Payroll Dec,180000
15-12-2025,Rent,Showroom & Warehouse Rent,45000
20-12-2025,Operations,Utilities & Hardware,18000
25-12-2025,Inventory,Year-End Gifting Stock,110000
05-01-2026,Marketing,New Year Promo,25000
10-01-2026,Salaries,Employee Payroll Jan,160000
15-01-2026,Rent,Showroom & Warehouse Rent,50000
20-01-2026,Operations,Cloud Infrastructure,12000
25-01-2026,Inventory,Fresh Stock Order,80000
05-02-2026,Marketing,Q1 Branding Ads,20000
10-02-2026,Salaries,Employee Payroll Feb,160000
15-02-2026,Rent,Showroom & Warehouse Rent,50000
20-02-2026,Operations,General Repairs,10000
25-02-2026,Inventory,Spring Stock Purchase,75000
